ResponseId,consent,Condition.RSP.desc,Cond_RSP_happy,Cond_RSP_proud,Cond_RSP_annoyed,Cond_RSP_jealous,Cond_RSP_upset,Cond_RSP_angry,Cond_RSP_inferior,Condition.SP.desc,Cond_SP_happy,Cond_SP_proud,Cond_SP_annoyed,Cond_SP_jealous,Cond_SP_upset,Cond_SP_angry,Cond_SP_inferior,Gender,Age,issues?,ach_dummy,ind_skill_dummy,poss_money_status_power_dummy,fam_rel_dummy,luck_dummy,Exclude ,Reason,
Response ID,Do you consent?,Can you describe a situation in which someone has bragged to you about something? please be as detailed as possible,I was happy for that person,I was proud of that person,I was annoyed by that person,I was jealous that person,I was upset by that person,I was angry at that person,I felt inferior to that person,Can you describe a situation in which you have bragged to someone else about something? please be as detailed as possible,That person was happy for me,That person was proud of me,That person was annoyed by me,That person was jealous of me,That person was upset by me,That person was angry at me,That person felt inferior to me,Please Specify your gender: - Selected Choice,What is your age?,Did you run into any issues with this survey?,,,,,,,,
"{""ImportId"":""_recordId""}","{""ImportId"":""QID1""}","{""ImportId"":""QID19_TEXT""}","{""ImportId"":""QID22""}","{""ImportId"":""QID23""}","{""ImportId"":""QID24""}","{""ImportId"":""QID25""}","{""ImportId"":""QID27""}","{""ImportId"":""QID28""}","{""ImportId"":""QID29""}","{""ImportId"":""QID6_TEXT""}","{""ImportId"":""QID8""}","{""ImportId"":""QID10""}","{""ImportId"":""QID11""}","{""ImportId"":""QID12""}","{""ImportId"":""QID13""}","{""ImportId"":""QID14""}","{""ImportId"":""QID15""}","{""ImportId"":""QID32""}","{""ImportId"":""QID33_TEXT""}","{""ImportId"":""QID37_TEXT""}",,,,,,,,
1,1,An acquaintance told me about how much money they make.,3,2,6,5,3,1,4,,,,,,,,,2,23,No,0,0,1,0,0,0,,
2,1,"I had a friend brag to me when he got a new computer, it was better than mine and he pushed it in my face and he would sing a song about how it was better than mine.",7,7,5,1,1,1,1,,,,,,,,,1,18,No,0,0,1,0,0,0,,
3,1,,,,,,,,,I bragged about my new Christmas tree and the new ornaments. I thought I did a good job.,7,5,1,1,1,1,1,2,27,no,0,0,1,0,0,0,,
4,1,I was at a wedding last week and this girl who was sitting next to me bragged nonstop about her job. Because she worked at Johns Hopkins. She thought she was so special. She just kept going on and on and on. It was a nice job but she was way over the top with it.,4,2,7,1,1,1,1,,,,,,,,,1,38,No,1,0,0,0,0,0,,
5,1,My roommate bragged about how well she was doing at work. She had been complimented twice by two different managers for staying late and helping coworkers with their jobs. ,4,3,3,1,1,1,1,,,,,,,,,1,27,no,1,0,0,0,0,0,,
6,1,,,,,,,,,I bragged to a friend about how much money I made selling stuff online.,5,5,3,3,4,3,5,1,26,no,0,0,1,0,0,0,,
7,1,,,,,,,,,A time when I bragged about something is the other day. I was bragging to a friend that I have made a few thousand dollars investing in Bitcoin. He was very interested and I may have even convinced him to purchase some bitcoin as well. It was all he kept talking about the next time I ran into him. ,7,7,2,4,1,1,1,1,31,"None. I would increase the survey time to more than 5 minutes though. It makes the person taking it feel rushed to finish quickly. Other than that, no issues. Thank you.",0,0,1,0,0,0,,
8,1,Someone said that they ate a large amount of food.,6,6,2,2,2,2,2,,,,,,,,,1,23,No.,1,0,0,0,0,0,,
9,1,,,,,,,,,I had bragged that I was going on vacation and it was going to be fun.,6,6,1,1,1,1,1,2,32,,0,1,0,0,0,0,,
10,1,My husband has bragged about me to his coworkers about a good job I did on a call,6,6,1,1,1,1,1,,,,,,,,,2,27,none,0,0,0,1,0,0,,
11,1,,,,,,,,,"I once won a poker tournament for six figures. I was 18 and all my other friends were working crappy jobs, so it was especially a large amount of money.",5,6,3,5,3,1,2,1,30,No,1,0,0,0,0,0,,
12,1,my son inherited a furniture store. he thinks he's donald trump now.,6,5,2,2,2,2,2,,,,,,,,,2,52,no,0,0,1,0,0,0,,
